Days,Days,du,airport,gabtoli,gulshan,jatrabari,mdpur,mirpur10,motijhil,old dhaka,tejgoan,,,,,,,,,,,,,,,
Sun,240,325.53125,229,292.7263158,292.9368421,384.9789474,424,326.28125,415,510.5416667,454.46875,,,,,,,,,,,,,,,
Mon,241,311.8125,229,303.7789474,304.0315789,401.1578947,424,332.625,415,513.4583333,454.6145833,,,,,,,,,,,,,,,
Tue,242,334.625,177.0833333,304.8947368,307.1263158,400.6526316,424,327.7708333,415,513.4791667,458.1041667,,,,,,,,,,,,,,,
Wed,243,323.2395833,164.8958333,307.9157895,307.5052632,403.7578947,401.125,332.9895833,395.1979167,514.0729167,353.1458333,,,,,,,,,,,,,,,
Thu,244,295.3020833,175.2291667,307.6842105,307.8842105,405.0105263,314.3854167,330.6666667,366.5625,481.21875,310.0729167,,,,,,,,,,,,,,,
Fri,245,324.875,176.4895833,307.2421053,308.7368421,403.1368421,330,331.2604167,385.0625,484.7083333,331.9479167,,,,,,,,,,,,,,,
Sat,246,332.0520833,174.6979167,309.9157895,308.7578947,419.4,330,317.8229167,404.3854167,507.3854167,354.9270833,,,,,,,,,,,,,,,
Sun,247,325.53125,175.6979167,293.4315789,291.4631579,382.4631579,330,325.5520833,401.7604167,510.5416667,350.9270833,,,,,,,,,,,,,,,
Mon,248,311.8125,175.9270833,306.7684211,302.6315789,400.9894737,330,333.8958333,402.8333333,511.8645833,353.21875,,,,,,,,,,,,,,,
Tue,249,334.625,177.4791667,308.0210526,307.5263158,401.3578947,330,327.7708333,402.1979167,513.4791667,352.34375,,,,,,,,,,,,,,,
Wed,250,322.125,165.1979167,311,308.3263158,404.2,330,331.9375,398.2708333,513,353.15625,,,,,,,,,,,,,,,
Thu,251,295.3020833,175.7708333,310.4421053,308.4842105,406.7157895,330,331.8020833,367.34375,480.9583333,309.5,,,,,,,,,,,,,,,
Fri,252,324.875,176.4895833,308.8210526,310.2842105,406.0421053,330,331.2604167,385.0625,484.7083333,331.3229167,,,,,,,,,,,,,,,
Sat,253,332.0520833,174.6979167,311.3052632,315.7263158,420.2315789,330,317.8229167,404.3854167,507.3854167,354.625,,,,,,,,,,,,,,,
Sun,254,325.53125,175.1979167,293.3263158,291.8,382.8526316,330,325.5520833,401.7604167,510.5416667,351.0104167,,,,,,,,,,,,,,,
Mon,255,311.8125,175.9270833,305.5894737,297.6,402.0315789,330,332.625,401.03125,511.8645833,353.1666667,,,,,,,,,,,,,,,
Tue,256,334.625,177.0104167,307.8315789,308.8842105,402.2210526,330,327.7708333,402.0416667,513.4791667,352.3125,,,,,,,,,,,,,,,
Wed,257,322.125,164.9166667,311.0526316,309.1684211,404.8526316,330,331.9375,398.2708333,513,353.1770833,,,,,,,,,,,,,,,
Thu,258,295.3020833,175.7708333,311.2105263,313.1789474,406.4842105,330,331.8020833,366.5625,480.9583333,309.6041667,,,,,,,,,,,,,,,
Fri,259,324.875,176.5416667,309.0315789,314.8315789,407.7684211,330,331.2604167,385.0625,484.7083333,330.8645833,,,,,,,,,,,,,,,
Sat,260,332.0520833,175.3020833,313.1894737,316,419.5789474,330,317.8229167,404.3854167,507.3854167,354.6666667,,,,,,,,,,,,,,,
Sun,261,325.5208333,175.6979167,294.3263158,293.7578947,384.3368421,330,326.28125,321.6666667,510.5416667,350.4479167,,,,,,,,,,,,,,,
Mon,262,311.8125,175.375,304.5684211,298.6736842,401.5684211,330,332.625,346,511.8645833,351.875,,,,,,,,,,,,,,,
Tue,263,334.625,177.1354167,308.0842105,309.4315789,403.9473684,330,328.9270833,346,513.4791667,351.3645833,,,,,,,,,,,,,,,
Wed,264,322.125,164.875,311.9894737,309.3263158,405.0210526,330,332.9895833,346,513,353.2604167,,,,,,,,,,,,,,,
Thu,265,295.3020833,175.46875,312.0947368,315.4842105,406.2736842,330,330.6666667,346,480.9583333,309.3125,,,,,,,,,,,,,,,
Fri,266,324.875,175.6875,309.4631579,311.5263158,408.6947368,330,331.2604167,346,484.7083333,331.75,,,,,,,,,,,,,,,
Sat,267,332.0520833,155.8333333,313.5052632,312.7368421,418.9473684,330,317.1770833,346,507.3854167,355.1041667,,,,,,,,,,,,,,,
Sun,268,325.53125,175,295.3894737,292.2105263,386,330,326.28125,346,510.5416667,351.0729167,,,,,,,,,,,,,,,
Mon,269,311.8125,175,305.2526316,299.4631579,402.4421053,330,332.625,346,511.8645833,352.7916667,,,,,,,,,,,,,,,
Tue,270,334.625,175,309.2105263,309.3263158,404.1473684,330,328.9270833,346,513.4791667,352.7916667,,,,,,,,,,,,,,,
Wed,271,322.125,175,311.0736842,307.3578947,404.3894737,330,331.9375,346,512.9791667,353.6875,,,,,,,,,,,,,,,
Thu,272,294.8645833,175.4583333,313.4,311.0842105,407.4210526,330,330.6666667,346,480.9791667,309.4895833,,,,,,,,,,,,,,,
Fri,273,325.84375,175.2604167,310.8315789,306.1894737,409.7684211,386.8541667,331.2604167,385.1041667,486.7291667,331.2916667,,,,,,,,,,,,,,,
Sat,274,331.8541667,174.3645833,312.7473684,310.2736842,417.5157895,251.4583333,317.1770833,406.1666667,508.2395833,355.3229167,,,,,,,,,,,,,,,
Sun,275,325.4375,175.15625,296.6736842,293.3157895,385.1473684,242,325.5520833,399.7083333,511.3958333,351.1145833,,,,,,,,,,,,,,,
Mon,276,313.3958333,176.0625,307.1368421,297.5684211,403.3263158,242,332.625,400.78125,512.71875,353.0729167,,,,,,,,,,,,,,,
Tue,277,336.4479167,177.1458333,308.4210526,306.8736842,404.5684211,242,327.7708333,402.0729167,514.34375,352.15625,,,,,,,,,,,,,,,
Wed,278,323.7395833,165.2291667,310.1684211,305.7684211,402.1473684,242,332.9895833,396.4166667,513.7916667,353.6458333,,,,,,,,,,,,,,,
Thu,279,295.5208333,175.9270833,312.4,308.5052632,407.2947368,242,330.6666667,366.4270833,481.5208333,309.8333333,,,,,,,,,,,,,,,
Fri,280,324.78125,175.6458333,310.3052632,308.0526316,408.7157895,242,332.2708333,384.8958333,485.3125,332.1041667,,,,,,,,,,,,,,,
Sat,281,331.8541667,174.8333333,311.1578947,308.2421053,415.7894737,242,317.1770833,406.1666667,508.2395833,355.1354167,,,,,,,,,,,,,,,
Sun,282,327.125,175.6770833,295.9789474,294.3578947,388.7894737,242,325.5520833,401.6354167,511.2708333,351.4895833,,,,,,,,,,,,,,,
Mon,283,311.8020833,175.5208333,305.8526316,297.4421053,404.8210526,242,333.8958333,402.6041667,512.59375,352.71875,,,,,,,,,,,,,,,
Tue,284,334.5729167,177.1458333,307.7157895,307.2210526,402.5684211,242,328.9270833,403.8958333,514.3229167,352.3229167,,,,,,,,,,,,,,,
Wed,285,322.21875,164.9375,309.7578947,306.9263158,400.9052632,242,332.9895833,402.9791667,513.7291667,353.25,,,,,,,,,,,,,,,
Thu,286,296.15625,175.9270833,310.8736842,309.8526316,406.6,242,331.8020833,366.4270833,481.59375,310.1979167,,,,,,,,,,,,,,,
Fri,287,324.78125,175.2604167,309.5894737,308.6105263,406.8947368,242,332.2708333,384.8958333,485.3125,331.4791667,,,,,,,,,,,,,,,
Sat,288,333.6770833,174.3645833,310.2421053,309.0210526,412.8947368,242,317.8229167,406.0729167,508.2395833,355.9791667,,,,,,,,,,,,,,,
Sun,289,327.125,175.15625,296.1578947,296.5684211,389.0315789,242,325.5520833,399.7083333,511.3958333,351.3541667,,,,,,,,,,,,,,,
Mon,290,313.4270833,175.6145833,304,297.6947368,403.7894737,242,332.625,400.78125,512.53125,354.2291667,,,,,,,,,,,,,,,
Tue,291,336.4479167,177.15625,307.0631579,307.8105263,401.2947368,242,328.9270833,402.0729167,514.34375,353.5416667,,,,,,,,,,,,,,,
Wed,292,322.21875,165.25,309.1263158,306.6947368,399.8947368,242,331.9375,398.2395833,513.7916667,354.2395833,,,,,,,,,,,,,,,
Thu,293,296.15625,175.8541667,310.5052632,308.9894737,406.6947368,242,330.6666667,366.4270833,481.3854167,310.4479167,,,,,,,,,,,,,,,
Fri,294,324.78125,175.6875,308.4526316,309.2315789,406.1578947,242,332.2708333,386.2604167,485.3125,332.0520833,,,,,,,,,,,,,,,
Sat,295,331.8541667,175.0520833,309.4210526,309.2421053,412.2421053,242,317.1770833,406.1666667,508.2395833,355.4479167,,,,,,,,,,,,,,,
Sun,296,325.4375,175.1979167,296.5684211,298.3263158,390.6210526,242,326.28125,399.7083333,511.3958333,351.6354167,,,,,,,,,,,,,,,
Mon,297,312.0104167,112.2083333,302.5789474,296.2842105,403.1684211,242,333.8958333,402.6041667,512.59375,353.6458333,,,,,,,,,,,,,,,
Tue,298,336.4479167,110,306.6842105,308.3578947,401.1684211,242,328.9270833,402.0729167,514.2916667,352.5625,,,,,,,,,,,,,,,
Wed,299,322.21875,110,308.7157895,305.2631579,398.2842105,242,331.9375,396.4166667,513.6354167,353.5520833,,,,,,,,,,,,,,,
Thu,300,296.15625,110,310.4421053,309.4947368,406.5263158,242,331.8020833,366.4270833,481.59375,310.21875,,,,,,,,,,,,,,,
Fri,301,326.34375,110,308.2947368,309.2421053,405.3157895,242,332.2708333,381.6875,485.3125,332.25,,,,,,,,,,,,,,,
Sat,302,333.375,110,309,308.5894737,410.1157895,242,317.1770833,291.84375,508.2395833,355.8541667,,,,,,,,,,,,,,,
Sun,303,327.125,175.3125,297.8631579,301.1789474,393.0210526,242,325.5520833,401.6354167,511.3958333,350.8958333,,,,,,,,,,,,,,,
Mon,304,456.125,175.1666667,301.1157895,295.5473684,401.6947368,396.5729167,332.625,401.34375,394.15625,452.4166667,,,,,,,,,,,,,,,
Tue,305,474.0729167,176.40625,306.2315789,306.3052632,401.4631579,340.2083333,327.7708333,400.3229167,328.8229167,456.2708333,,,,,,,,,,,,,,,
Wed,306,464.4895833,164.9895833,238.1368421,306.7263158,398.9052632,338,331.9375,398.2291667,329.3333333,456,,,,,,,,,,,,,,,
Thu,307,422.1145833,175.1145833,277.7263158,307.6210526,402.7578947,338,330.6666667,367.2916667,319.5,399.5729167,,,,,,,,,,,,,,,
Fri,308,458.7395833,175.5625,307.4421053,309.3578947,406.0842105,338,331.2604167,384.0416667,320.84375,428.4791667,,,,,,,,,,,,,,,
Sat,309,471.8854167,174.3229167,307.5157895,308.1578947,408.8210526,338,319.2916667,402.8125,325.5208333,461.2708333,,,,,,,,,,,,,,,
Sun,310,466.9479167,175.65625,298.8526316,304.5578947,396.5789474,338,325.5520833,396.78125,328.8125,452.7291667,,,,,,,,,,,,,,,
Mon,311,458.1354167,175.7395833,299.3684211,293.7473684,399.8105263,338,333.8958333,400.6770833,329.46875,454.6145833,,,,,,,,,,,,,,,
Tue,312,476.6354167,176.9270833,304.4736842,303.2947368,401.2736842,338,328.9270833,400.3854167,329.375,458.1041667,,,,,,,,,,,,,,,
Wed,313,467.6041667,165.2604167,307.1684211,307,398.7473684,338,332.9895833,396.2916667,328.6354167,457.6041667,,,,,,,,,,,,,,,
Thu,314,422.0833333,175.1145833,309.4105263,308.4210526,405.6,338,331.8020833,372.6875,319.6458333,399.9375,,,,,,,,,,,,,,,
Fri,315,457.9791667,175.5625,307.6,308.9263158,405.8947368,338,331.2604167,466.40625,321.3854167,428.4791667,,,,,,,,,,,,,,,
Sat,316,471,174.8541667,307.4526316,308.7894737,407.3052632,338,317.8229167,407.2395833,326.3125,461.2708333,,,,,,,,,,,,,,,
Sun,317,466,175.1770833,301.1263158,308.4947368,401.4631579,338,326.28125,400.71875,330.03125,454.46875,,,,,,,,,,,,,,,
Mon,318,455.5520833,175.1666667,298.8526316,291.6421053,396.9368421,338,333.8958333,401.0729167,330.7395833,454.6145833,,,,,,,,,,,,,,,
Tue,319,472.6666667,176.90625,304.2421053,302.8842105,401.9368421,338,328.9479167,392.5729167,328.6666667,456.2708333,,,,,,,,,,,,,,,
Wed,320,466.21875,164.9895833,307.1263158,306.4105263,398.9789474,338,331.9895833,399.25,328.9479167,456,,,,,,,,,,,,,,,
Thu,321,421.5416667,175.0625,309.6421053,307.4947368,404.9684211,338,330.6666667,370.3020833,319.7083333,399.9375,,,,,,,,,,,,,,,
Fri,322,459.3333333,175.1354167,308.1368421,309.6,405.4526316,338,331.2604167,385.5208333,320.375,429.3541667,,,,,,,,,,,,,,,
Sat,323,471.65625,174.8541667,307.0526316,309.6947368,406.4105263,338,317.8229167,405.5416667,326.1354167,459.8020833,,,,,,,,,,,,,,,
Sun,324,466.15625,175.6875,303.4947368,312.4947368,406.5368421,338,326.3229167,400.5416667,329.6875,454.46875,,,,,,,,,,,,,,,
Mon,325,457.6979167,176.1354167,297.2421053,291.3368421,393.1157895,338,333.8958333,400.53125,330.5520833,454.6145833,,,,,,,,,,,,,,,
Tue,326,475.8229167,177.125,304.2105263,298.9894737,401.4,338,327.7916667,399.4375,328.7916667,458.1041667,,,,,,,,,,,,,,,
Wed,327,466.5,163.34375,305.1684211,308.2631579,399.0631579,338,333.0104167,393.9791667,328.5,457.6041667,,,,,,,,,,,,,,,
Thu,328,421.6875,201,309.3473684,307.4947368,405.6210526,338,331.8020833,368.84375,319.6145833,399.7916667,,,,,,,,,,,,,,,
Fri,329,458.6458333,201,308.2631579,308.4842105,404.9578947,338,332.2708333,384.6354167,320.3958333,429.3541667,,,,,,,,,,,,,,,
Sat,330,474.8333333,201,306.7368421,310.6842105,405.8736842,338,317.8229167,406.5416667,326.4895833,461.2708333,,,,,,,,,,,,,,,
Sun,331,467.125,201,306.1684211,315.3578947,413.1368421,338,326.28125,399.8333333,329.1458333,454.46875,,,,,,,,,,,,,,,
Mon,332,458.03125,200.6354167,294.6105263,291.3052632,387.7473684,338,332.625,410.46875,330.5729167,454.6145833,,,,,,,,,,,,,,,
Tue,333,475.5625,176.4375,304.7157895,297.6421053,400.9052632,338,328.9479167,389.6041667,329.6875,457.1979167,,,,,,,,,,,,,,,
Wed,334,321.8229167,165.375,306.3157895,307.7578947,400.4631579,403.5104167,331.9895833,397.3541667,453.7395833,456.0833333,,,,,,,,,,,,,,,
Thu,335,296.5833333,175.3645833,308.9052632,308.2210526,404.6947368,507,331.8020833,366.46875,480.65625,399.7291667,,,,,,,,,,,,,,,
Fri,336,326.1458333,175.0104167,308.4105263,310.7052632,405.7578947,507,331.2604167,384.8229167,485.9895833,428.6666667,,,,,,,,,,,,,,,
Sat,337,331.8020833,174.1875,303.1894737,308.9157895,403.6105263,507,317.8229167,404.1666667,508.7291667,459.4791667,,,,,,,,,,,,,,,
Sun,338,326.5,175.09375,307.5894737,316.0736842,416.6736842,507,326.3229167,401.6041667,511.4479167,454.3958333,,,,,,,,,,,,,,,
Mon,339,313.4270833,175.84375,293.3473684,291.8947368,383.9789474,507,333.8958333,400.6979167,512.6458333,452.8229167,,,,,,,,,,,,,,,
Tue,340,336.0729167,176.4375,304.5157895,299.1368421,400.2631579,507,327.7916667,401.9895833,514.6145833,458,,,,,,,,,,,,,,,
Wed,341,322.4479167,165.375,305.9789474,308.9894737,400.3368421,507,331.9895833,396.5729167,513.8541667,456.0833333,,,,,,,,,,,,,,,
Thu,342,296.5729167,175.3645833,309.3789474,310.1894737,403.7157895,507,331.8020833,367.8333333,480.7083333,400.6041667,,,,,,,,,,,,,,,
Fri,343,326.1875,175.0104167,308.6,311.8947368,405.1473684,507,332.2708333,386.7916667,485.9895833,430.03125,,,,,,,,,,,,,,,
Sat,344,331.8020833,174.6979167,306.8526316,309.7157895,406.0421053,507,317.8229167,406.09375,508.7291667,459.4791667,,,,,,,,,,,,,,,
Sun,345,326.5,175.6354167,309.0210526,315.7052632,419.9263158,507,325.5520833,399.9270833,511.4479167,452.6041667,,,,,,,,,,,,,,,
Mon,346,311.375,175.84375,292.1473684,293.2105263,382.4210526,507,332.625,403.9166667,512.6458333,452.8229167,,,,,,,,,,,,,,,
Tue,347,334.5625,176.4583333,305.0842105,299.6947368,401.8947368,507,327.7708333,403.8125,514.6145833,456.3958333,,,,,,,,,,,,,,,
Wed,348,321.8229167,165.375,306.0421053,310.4526316,402.5789474,507,332.9895833,397.3541667,513.84375,456.0833333,,,,,,,,,,,,,,,
Thu,349,295.0208333,175.7916667,309.5473684,309.1684211,404.9684211,507,330.6666667,360.0208333,480.7083333,399.7291667,,,,,,,,,,,,,,,
Fri,350,324.3229167,175.53125,308.9368421,311.6947368,406.7263158,507,331.2604167,386.7916667,485.9895833,430.03125,,,,,,,,,,,,,,,
Sat,351,333.4895833,174.65625,307.1368421,310.4526316,406.1894737,507,317.1770833,406.09375,508.7291667,459.4791667,,,,,,,,,,,,,,,
Sun,352,326.5,175.625,310.4421053,313.9052632,420.0526316,507,326.28125,401.6041667,511.4479167,452.6041667,,,,,,,,,,,,,,,
Mon,353,313.4270833,175.9375,292.4526316,293.1473684,383.3052632,507,333.8958333,402.5208333,512.6458333,454.65625,,,,,,,,,,,,,,,
Tue,354,336.0729167,176.7083333,303.7368421,300.2736842,401.1263158,507,328.9270833,403.8125,514.6145833,458,,,,,,,,,,,,,,,
Wed,355,321.8229167,165.1770833,306.1473684,310.2315789,403.2526316,507,332.9895833,396.5729167,513.8541667,456.4479167,,,,,,,,,,,,,,,
Thu,356,295.0208333,175.2083333,309.6947368,308.0105263,404.9263158,507,331.8020833,366.46875,480.7083333,399.7291667,,,,,,,,,,,,,,,
Fri,357,326.1458333,174.0416667,310.5368421,311.5263158,405.7263158,507,332.2708333,386.7916667,487.8020833,430.03125,,,,,,,,,,,,,,,
Sat,358,333.4895833,203,307.6421053,309.0736842,408,507,317.8229167,406.09375,508.6770833,459.4791667,,,,,,,,,,,,,,,
Sun,359,326.5,203,311.7684211,312.6210526,419.2947368,507,325.5520833,401.6041667,511.4479167,454.3958333,,,,,,,,,,,,,,,
Mon,360,311.5625,203,293.7052632,291.4842105,385.6421053,507,333.8958333,400.6979167,512.5625,454.65625,,,,,,,,,,,,,,,
Tue,361,336.0729167,203,303.1578947,299.6105263,402.8,507,328.9270833,403.8125,514.5833333,456.3958333,,,,,,,,,,,,,,,
Wed,362,322.9791667,203,306.4315789,309.2736842,404.5368421,507,331.9375,399.4895833,513.8541667,456.0833333,,,,,,,,,,,,,,,
Thu,363,296.5833333,203,310.3157895,307.1263158,405.0736842,507,330.5833333,330.1666667,481.0520833,399.7291667,,,,,,,,,,,,,,,
Fri,364,325.8297872,203,310.6315789,310.9368421,406.6105263,507,332.2708333,385.7340426,486,429.2446809,,,,,,,,,,,,,,,
Sat,365,325.8297872,203,310.6315789,307.4736842,409.1789474,507,317.8229167,385.7340426,578.7407407,429.2446809,,,,,,,,,,,,,,,
